stop_distance_statistic,stop_distance_points,min_lot_loss_usd,intended_risk_usd_500,actual_risk_pct_500,risk_distortion_500,required_balance_for_0_50_pct_risk
Min Stop,2.8770000000004075,2.8770000000004075,2.5,0.5754000000000815,1.150800000000163,575.4000000000815
P5 Stop,4.617500000000382,4.617500000000382,2.5,0.9235000000000764,1.8470000000001527,923.5000000000763
P25 Stop,7.706500000000233,7.706500000000233,2.5,1.5413000000000465,3.082600000000093,1541.3000000000466
Median Stop,11.083000000000084,11.083000000000084,2.5,2.216600000000017,4.433200000000033,2216.6000000000167
Mean Stop,12.90195652173914,12.90195652173914,2.5,2.580391304347828,5.160782608695656,2580.391304347828
P75 Stop,17.01949999999988,17.01949999999988,2.5,3.4038999999999757,6.807799999999952,3403.899999999976
P90 Stop,23.09079999999995,23.09079999999995,2.5,4.61815999999999,9.23631999999998,4618.15999999999
P95 Stop,25.582399999999282,25.582399999999282,2.5,5.116479999999857,10.232959999999713,5116.479999999857
Max Stop,34.47699999999986,34.47699999999986,2.5,6.895399999999972,13.790799999999944,6895.399999999972
